id,title,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8
01,Classic Vanilla Bliss,glace,vanilla,dessert,classic,variété de glace,concoction glacée,plaisir glacé,crème glacée
02,Rich Chocolate Indulgence,glace,chocolate,dessert,classic,délice sucré,gâteau glacé,parfum de glace,concoction glacée
03,Refreshing Strawberry Sensation,sorbet,strawberry,dessert,fruits,sorbet aux fruits,variété de glace,douceur glacée,rafraîchissement sucré
04,Mint Chocolate Chip Delight,glace,mint,chocolate,dessert,crème glacée,délice glacé,parfum de glace,variété de glace
05,Caramel Dream,glace,caramel,dessert,gourmand,plaisir sucré,friandise froide,rafraîchissement sucré,gâteau glacé
06,Zesty Lemon Sorbet,glace,sorbet,lemon,dessert,sorbet aux fruits,parfum de glace,variété de glace,délice glacé
07,Crunchy Pistachio Paradise,glace,pistachio,dessert,classic,délice glacé,variété de glace,concoction glacée,plaisir glacé
08,Decadent Mocha Delight,glace,mocha,dessert,gourmand,parfum de glace,variété de glace,douceur glacée,rafraîchissement sucré
09,Cherry Jubilee Explosion,glace,cherry,dessert,fruits,sorbet aux fruits,délice glacé,variété de glace,plaisir glacé
10,Hazelnut Heaven Symphony,glace,hazelnut,dessert,gourmand,délice glacé,variété de glace,concoction glacée,plaisir glacé
11,Tropical Pineapple Bliss,sorbet,pineapple,dessert,fruits,sorbet aux fruits,parfum de glace,variété de glace,douceur glacée
12,Cherry Amaretto Delight,glace,cherry,amaretto,dessert,délice sucré,variété de glace,concoction glacée,plaisir glacé
13,White Chocolate Raspberry Fantasy,glace,white chocolate,raspberry,dessert,délice sucré,parfum de glace,variété de glace,concoction glacée
14,Mango Tango Extravaganza,glace,mango,dessert,fruits,délice glacé,variété de glace,parfum de glace,rafraîchissement sucré
15,Italian Stracciatella Delight,glace,stracciatella,dessert,classic,délice sucré,variété de glace,parfum de glace,concoction glacée
16,Banana Bliss Eruption,glace,banana,dessert,fruits,sorbet aux fruits,délice glacé,variété de glace,rafraîchissement sucré
17,Espresso Extravaganza Delight,glace,espresso,dessert,gourmand,parfum de glace,variété de glace,douceur glacée,concoction glacée
18,Blackcurrant Burst Bliss,sorbet,blackcurrant,dessert,fruits,sorbet aux fruits,délice glacé,variété de glace,rafraîchissement sucré
19,Dark Chocolate Delight Symphony,glace,dark chocolate,dessert,gourmand,délice glacé,variété de glace,parfum de glace,concoction glacée
20,Blueberry Burst Bliss,sorbet,blueberry,dessert,fruits,sorbet aux fruits,délice glacé,variété de glace,rafraîchissement sucré
21,Amaretto Dream Delight,glace,amaretto,dessert,gourmand,parfum de glace,variété de glace,douceur glacée,concoction glacée
22,Zesty Lime Sorbet Symphony,sorbet,lime,dessert,fruits,sorbet aux fruits,délice glacé,variété de glace,parfum de glace
23,Milk Chocolate Marvel Delight,glace,milk chocolate,dessert,gourmand,délice glacé,variété de glace,concoction glacée,parfum de glace
24,Peach Perfection Paradise,glace,peach,dessert,fruits,délice glacé,variété de glace,rafraîchissement sucré,concoction glacée
25,Tiramisu Temptation Extravaganza,glace,tiramisu,dessert,gourmand,délice sucré,variété de glace,parfum de glace,concoction glacée
26,Pear Paradise Bliss,glace,pear,dessert,fruits,délice glacé,variété de glace,parfum de glace,rafraîchissement sucré
27,Crispy Chocolate Hazelnut Delight,glace,chocolate hazelnut,dessert,gourmand,délice glacé,variété de glace,parfum de glace,concoction glacée
28,Orange Burst Bliss,glace,orange,dessert,fruits,délice glacé,variété de glace,rafraîchissement sucré,concoction glacée
29,Praline Pleasure Paradise,glace,praline,dessert,gourmand,délice sucré,variété de glace,parfum de glace,concoction glacée
30,Apple Harvest Symphony,glace,apple,dessert,fruits,délice glacé,variété de glace,rafraîchissement sucré,concoction glacée
